================================================================================
COMPREHENSIVE LEGISLATION DATABASE: 1920-1947
Applicable to Bengal / Present-day Bangladesh
================================================================================
Period: 1920-1947 (Late Colonial / Dyarchy / Provincial Autonomy / Independence)
Compiled from historical legislative records
================================================================================

Format: S/N | Year | Title | Type | Act No. | Subject Category | Status in Bangladesh

================================================================================
PART A: CENTRAL (INDIAN) ACTS APPLICABLE TO BENGAL (1920-1947)
================================================================================

1 | 1920 | Indian Securities Validation Act, 1920 | Central Act | Act No. I of 1920 | Finance / Securities | Repealed
2 | 1920 | Inland Steam Vessels (Amendment) Act, 1920 | Central Act | Act No. II of 1920 | Navigation / Transport | Superseded by later legislation
3 | 1920 | Indian Criminal Law Amendment Act, 1920 | Central Act | Act No. XIV of 1920 | Criminal Law | Repealed
4 | 1920 | Charitable Endowments Act, 1920 | Central Act | Act No. VI of 1920 | Charity / Trusts | In force (with amendments)
5 | 1920 | Indian Emigration Act, 1920 | Central Act | Act No. VII of 1920 | Labour / Migration | Repealed
6 | 1920 | Indian Merchant Shipping (Amendment) Act, 1920 | Central Act | Act No. X of 1920 | Maritime / Shipping | Superseded
7 | 1920 | Usurious Loans Act, 1918 (applied 1920s) | Central Act | Act No. X of 1918 | Money-lending / Finance | In force (with amendments)
8 | 1920 | Passport (Entry into India) Act, 1920 | Central Act | Act No. XXXIV of 1920 | Immigration / Passports | Superseded by Bangladesh legislation
9 | 1920 | Indian Tolls Act, 1920 | Central Act | Act No. V of 1920 | Revenue / Tolls | Repealed
10 | 1920 | Montagu-Chelmsford Reforms / Government of India Act, 1919 (effective 1920-21) | UK Act | 9 & 10 Geo. V c. 101 | Constitutional | Historical / Superseded

11 | 1921 | Maintenance Orders Enforcement Act, 1921 | Central Act | Act No. XVIII of 1921 | Family Law / Civil | In force
12 | 1921 | Indian Mines Act, 1921 | Central Act | Act No. IV of 1921 | Mining / Labour | Superseded by Mines Act 1923
13 | 1921 | Indian Stamp (Amendment) Act, 1921 | Central Act | Act No. XXVI of 1921 | Revenue / Stamps | Merged with Stamp Act
14 | 1921 | Mussalman Wakf Validating Act, 1921 | Central Act | Act No. VI of 1921 | Muslim Law / Wakf | In force (with amendments)
15 | 1921 | Press and Registration of Books (Amendment) Act, 1921 | Central Act | Act No. XXIII of 1921 | Press / Media | Superseded
16 | 1921 | Code of Criminal Procedure (Amendment) Act, 1921 | Central Act | Act No. XXVII of 1921 | Criminal Procedure | Merged with CrPC
17 | 1921 | Indian Red Cross Society Act, 1920 | Central Act | Act No. XV of 1920 | Humanitarian / Charity | In force (adapted)

18 | 1922 | Transfer of Property (Amendment) Act, 1922 | Central Act | Act No. XVI of 1922 | Property Law | Merged with TP Act
19 | 1922 | Indian Boilers (Amendment) Act, 1922 | Central Act | Act No. V of 1922 | Industrial / Safety | Merged with Boilers Act
20 | 1922 | Criminal Tribes (Amendment) Act, 1922 | Central Act | Act No. III of 1922 | Criminal Law | Repealed
21 | 1922 | Indian Merchant Shipping (Amendment) Act, 1922 | Central Act | Act No. XXI of 1922 | Maritime | Superseded
22 | 1922 | Indian Income Tax (Amendment) Act, 1922 | Central Act | Act No. XI of 1922 | Taxation | Superseded by Income Tax Ordinance 1984
